"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\CombBox1.tsx", "TypeScript JSX", 11, 1, 2, 14
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\CombBox2.tsx", "TypeScript JSX", 39, 1, 2, 42
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\FormDialog.tsx", "TypeScript JSX", 134, 4, 12, 150
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\IscSIGridView.tsx", "TypeScript JSX", 309, 1, 15, 325
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\TableView.tsx", "TypeScript JSX", 7, 0, -1, 6
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\pages\Iscsi.tsx", "TypeScript JSX", 4, 0, 2, 6
"Total", "-", 504, 7, 32, 543
