"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\App.tsx", "TypeScript JSX", 0, 1, 0, 1
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\AppLayout.tsx", "TypeScript JSX", 9, 0, 1, 10
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\HeaderBar.tsx", "TypeScript JSX", 7, 0, 0, 7
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\IscSIGridView.tsx", "TypeScript JSX", 3, 0, 0, 3
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\components\layout\useAuth.tsx", "TypeScript JSX", 8, 0, 0, 8
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\pages\Iscsi.tsx", "TypeScript JSX", 3, 0, -1, 2
"c:\Users\相澤宗秀\Desktop\node\sample\sample-ctl-app\src\pages\Provisioning.tsx", "TypeScript JSX", 0, 0, 1, 1
"Total", "-", 30, 1, 1, 32
